GEOID_20,tract_number_20,INTPTLAT,INTPTLON,Area Name,Secondary Review 
10001040204,40204,39.284473,-75.6213257,Smyrna/Mill Creek/Gardenside,
10001040205,40205,39.2762771,-75.6005068,Hickory Hollow/Holly Hill,
10001040206,40206,39.2496199,-75.612872,Garrison Lake,
10001040501,40501,39.1995839,-75.5439014,Dupont Manor/Towne Point/Bush Manor,
10001040502,40502,39.221079,-75.5325177,Hazelwood/Pleasanton Acres,
10001040700,40700,39.1745533,-75.5639418,Fox Hall,
10001040900,40900,39.1686684,-75.5256038,East Lake Gardens,
10001041000,41000,39.1588788,-75.4716822,Oak grove/Lafferty's Corner,
10001041101,41101,39.1177435,-75.4849264,Dover Base,
10001041200,41200,39.1270085,-75.5017998,Laurel Bend/Capital Park ,
10001041300,41300,39.1531517,-75.52022,Capitol Green,Capitol Green
10001041400,41400,39.1473957,-75.5435763,West Dover,
10001041500,41500,39.1324585,-75.5376546,Wedgewood,
10001041600,41600,39.1249263,-75.525889,Kent Acres,
10001041701,41701,39.1056554,-75.5557419,Camden-Wyoming,
10001041702,41702,39.1075391,-75.5230449,Eagles Nest,
10001041802,41802,39.1375473,-75.6031845,Hazlettville,
10001041803,41803,39.2093482,-75.5950637,Cheswold,
10001041804,41804,39.174332,-75.615896,Chestnut Grove,
10001041900,41900,39.1439677,-75.7049433,Hartly,
10001042000,42000,39.058946,-75.6798594,Willow Grove / Petersburg,
10001042100,42100,39.0693287,-75.6033694,Woodside,
10001042203,42203,39.0935078,-75.4962461,Brookdale Heights,
10001042204,42204,39.0792256,-75.5131318,Brown's Corner,
10001042205,42205,39.061909,-75.5440674,Meadow Brook Acres,
10001042206,42206,39.0333979,-75.5372694,McGinnis Pond,
10001042207,42207,39.0688084,-75.4883882,Del Haven Estates,
10001042208,42208,39.0419509,-75.4818789,Double Run,
10001042500,42500,38.9247689,-75.4205956,Woods Haven,
10001042801,42801,38.9865736,-75.6669232,Hughes Crossroads / Hollandsville / Minners Corners / Mastens Corner,
10001042802,42802,38.9963371,-75.5589613,Killens Pond,
10001042900,42900,38.903784,-75.5244981,Melvins,
10001043000,43000,38.921194,-75.577983,Harrington,
10001043100,43100,38.8949961,-75.6713506,Farmington,
10001043202,43202,39.1456066,-75.4324489,Bombay Hook National Wildlife Refuge,
10001043300,43300,39.180221,-75.5466473,Delaware State University,
10001043400,43400,38.9723618,-75.4729061,Frederica,
10005050101,50101,38.858625,-75.4731324,Shawnee,
10005050103,50103,38.9003202,-75.3269701,Slaughter Beach,
10005050104,50104,38.8985485,-75.4294925,Milford,
10005050105,50105,38.8575067,-75.3949474,Anderson Crossroads,
10005050200,50200,38.7823193,-75.4046488,Ellendale,
10005050302,50302,38.7828597,-75.5400516,Oakley,
10005050303,50303,38.8023731,-75.6438982,Greenwood,
10005050304,50304,38.7427932,-75.6695767,Bridgeville,
10005050401,50401,38.6445255,-75.6657735,Nanticoke,
10005050403,50403,38.6152441,-75.6169436,Blades,
10005050405,50405,38.6689165,-75.6275848,Heritage Village,
10005050406,50406,38.6723012,-75.6073248,North Seaford Heights,
10005050407,50407,38.6776146,-75.5526093,Middleford / Fernwood,
10005050408,50408,38.634459,-75.5268421,Concord,
10005050501,50501,38.693015,-75.4367201,Redden State Forest (West),
10005050503,50503,38.7247175,-75.3872263,Redden State Forest (East),
10005050505,50505,38.672797,-75.374155,Wood Branch,
10005050506,50506,38.6732275,-75.3370237,Saulsbury Switch / Springfield Crossroads,
10005050601,50601,38.6014626,-75.3754891,Shortly,
